,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
338,MAH00537,KI,1788,1,XYG-GRO,Yes,197,308,200,311,BattemptD,0,0,0,1,0,0
412,MAH00537,KI,1788,1,XYG-GRO,Yes,200,311,203,314,A,1,0,0,0,1,0
389,MAH00537,KI,1788,1,XYG-GRO,Yes,248,359,249,360,Ascrounge,1,0,0,0,0,0
368,MAH00537,KI,1788,1,XYG-GRO,Yes,289,400,292,403,Ascrounge,1,0,0,0,0,0
359,MAH00537,KI,1788,1,XYG-GRO,Yes,344,455,349,460,BattemptD,0,0,0,1,0,0
386,MAH00537,KI,1788,1,XYG-GRO,Yes,371,482,388,499,BattemptL,0,0,0,1,0,0
382,MAH00537,KI,1788,1,XYG-GRO,Yes,428,539,452,563,BattemptL,0,0,0,1,0,0
341,MAH00537,KI,1788,1,XYG-GRO,Yes,451,562,452,563,Dpush,1,0,0,0,1,0
395,MAH00537,KI,1788,1,XYG-GRO,Yes,478,589,487,598,BattemptL,0,0,0,1,0,0
394,MAH00537,KI,1788,1,XYG-GRO,Yes,487,598,492,603,Dattempt,0,0,0,1,0,0
387,MAH00537,KI,1788,1,XYG-GRO,Yes,492,603,497,608,BattemptD,0,0,0,1,0,0
363,MAH00537,KI,1788,1,XYG-GRO,Yes,497,608,498,609,Dattempt,0,0,0,1,0,0
405,MAH00537,KI,1788,1,XYG-GRO,Yes,667,778,667,778,Dpush,1,0,0,0,1,0
410,MAH00537,KI,1788,1,XYG-GRO,Yes,695,806,697,808,Dpush,1,0,0,0,1,0
372,MAH00537,KI,1788,1,XYG-GRO,Yes,730,841,734,845,BupT,1,0,0,0,1,0
385,MAH00537,KI,1788,1,XYG-GRO,Yes,798,909,799,910,BattemptL,0,0,0,1,0,0
402,MAH00537,KI,1788,1,XYG-GRO,Yes,862,973,865,976,Dpush,1,0,0,0,1,0
407,MAH00537,KI,1788,1,XYG-GRO,Yes,878,989,891,1002,ODpush,0,1,0,0,0,1
414,MAH00537,KI,1788,1,XYG-GRO,Yes,893,1004,896,1007,ODpush,0,0,1,0,0,1
373,MAH00537,KI,1788,1,XYG-GRO,Yes,896,1007,899,1010,BattemptL,0,0,0,1,0,0
391,MAH00537,KI,1788,1,XYG-GRO,Yes,899,1010,902,1013,Dpush,1,0,0,0,1,0
383,MAH00537,KI,1788,1,XYG-GRO,Yes,928,1039,933,1044,Dpush,1,0,0,0,1,0
381,MAH00537,KI,1788,1,XYG-GRO,Yes,976,1087,980,1091,ODpush,0,1,0,0,0,1
399,MAH00537,KI,1788,1,XYG-GRO,Yes,984,1095,989,1100,Dattempt,0,0,0,1,0,0
400,MAH00537,KI,1788,1,XYG-GRO,Yes,1208,1319,1213,1324,Alog,1,0,0,0,1,0
380,MAH00537,KI,1788,1,XYG-GRO,Yes,1240,1351,1242,1353,Ascrounge,1,0,0,0,0,0
370,MAH00537,KI,1788,1,XYG-GRO,Yes,1312,1423,1320,1431,BupT,1,0,0,0,1,0
388,MAH00537,KI,1788,1,XYG-GRO,Yes,1473,1584,1498,1609,Dattempt,0,0,0,1,0,0
