,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
537,MAH00544,XMO,1579,1,X-ROR,Yes,813,813,839,839,OCattemptD,0,0,1,1,0,1
521,MAH00544,XMO,1579,1,X-ROR,Yes,839,839,893,893,OAattemptL,0,0,1,1,0,1
196,HDV_1108,XMO,907,2,BYP-OWX,Yes,451,2937,457,2943,ODpush,0,1,0,0,0,1
207,HDV_1109,XMO,101,2,GOR-RYX,Yes,6,3399,25,3418,Dattempt,0,0,0,1,0,0
182,HDV_1107,XMO,907,2,GOR-RYX,Yes,338,1917,346,1925,ODpush,0,1,0,0,0,1
200,HDV_1108,XMO,907,2,GOR-RYX,Yes,439,2925,443,2929,OBattemptD,0,0,1,1,0,1
205,HDV_1108,XMO,907,2,GOR-RYX,Yes,473,2959,486,2972,ODpush,0,0,1,0,0,1
202,HDV_1108,XMO,907,2,GOR-RYX,Yes,791,3277,829,3315,OBattemptD,0,0,1,1,0,1
180,HDV_1107,XMO,907,2,GOR-RYX,Yes,872,2451,876,2455,Dpush,1,0,0,0,1,0
197,HDV_1108,XMO,907,2,ORX-GGM,No,439,2925,443,2929,BattemptD,0,0,0,1,0,0
203,HDV_1108,XMO,907,2,ORX-GGM,No,451,2937,457,2943,Dpush,1,0,0,0,1,0
206,HDV_1108,XMO,907,2,ORX-GGM,No,791,3277,829,3315,BattemptD,0,0,0,1,0,0
199,HDV_1108,XMO,907,2,ORX-GGM,No,845,3331,848,3334,BattemptD,0,0,0,1,0,0
176,HDV_1107,XMO,907,2,POW-RXR,Yes,525,2104,525,2104,Dattempt,1,0,0,1,1,0
178,HDV_1107,XMO,907,2,POW-RXR,Yes,805,2384,820,2399,OBattemptD,0,0,1,1,0,1
179,HDV_1107,XMO,907,2,POW-RXR,Yes,878,2457,886,2465,ODpush,0,1,0,0,0,1
198,HDV_1108,XMO,907,2,WOX-RMM,Yes,451,2937,457,2943,ODpush,0,1,0,0,0,1
184,HDV_1107,XMO,907,2,WOX-RMM,Yes,470,2049,477,2056,Dpush,1,0,0,0,1,0
204,HDV_1108,XMO,907,2,WOX-RMM,Yes,473,2959,486,2972,ODpush,0,0,1,0,0,1
181,HDV_1107,XMO,907,2,WOX-RMM,Yes,872,2451,876,2455,ODpush,0,1,0,0,0,1
185,HDV_1107,XMO,907,2,WOX-RMM,Yes,878,2457,886,2465,Dpush,1,0,0,0,1,0
208,HDV_1109,XMO,101,2,X-ROR,Yes,6,3399,25,3418,ODattempt,0,0,1,1,0,1
177,HDV_1107,XMO,907,2,X-ROR,Yes,338,1917,346,1925,Dpush,1,0,0,0,1,0
175,HDV_1107,XMO,907,2,X-ROR,Yes,459,2038,463,2042,BattemptD,0,0,0,1,0,0
201,HDV_1108,XMO,907,2,X-ROR,Yes,473,2959,486,2972,Dpush,1,0,0,0,1,0
183,HDV_1107,XMO,907,2,X-ROR,Yes,805,2384,820,2399,BattemptD,0,0,0,1,0,0
195,HDV_1108,XMO,907,3,X-ROR,Yes,871,3357,891,3377,BattemptD,0,0,0,1,0,0
331,HDV_1129,XMO,633,3,BYP-OWX,Yes,18,4419,19,4420,Bscrounge,1,0,0,0,0,0
335,HDV_1129,XMO,633,3,GOR-RYX,Yes,240,4641,258,4659,BupT,1,0,0,0,1,0
329,HDV_1128,XMO,907,3,GOR-RYX,Yes,891,4385,903,4397,BupT,1,0,0,0,1,0
332,HDV_1129,XMO,633,3,ORX-GGM,No,36,4437,38,4439,Bscrounge,1,0,0,0,0,0
333,HDV_1129,XMO,633,3,ORX-GGM,No,270,4671,272,4673,Bscrounge,1,0,0,0,0,0
334,HDV_1129,XMO,633,3,WOX-RMM,Yes,297,4698,301,4702,Bscrounge,1,0,0,0,0,0
330,HDV_1128,XMO,907,3,WOX-RMM,Yes,907,4401,907,4401,Bscrounge,1,0,0,0,0,0
