bird_id,bird,year,sex,cohort,age,tarsus,weight,body_cond,handling,ret_latency,time,time_minutes,session,in_ses_trial,cumul_site,distance,angle,height,worms_ate,,
5,Robbie,2021,1,2016,5,34.8,27.8,0.798850575,8.999,,9:41,581,2,1,3,4.4,325,1.7,,,
5,Robbie,2021,1,2016,5,34.8,27.8,0.798850575,7,,9:41,581,2,2,3,4.4,325,1.7,,,
5,Robbie,2021,1,2016,5,34.8,27.8,0.798850575,4.999,,9:41,581,2,3,3,4.4,325,1.7,,,
5,Robbie,2021,1,2016,5,34.8,27.8,0.798850575,8.252,,9:41,581,2,4,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,27.8,0.798850575,8,,9:41,581,2,5,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,,,14.254,,10:12,612,3,1,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,,,8.253,,10:12,612,3,2,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,,,6.25,,10:12,612,3,3,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,,,6.173,,10:12,612,3,4,1,3.4,120,1.8,,,
5,Robbie,2021,1,2016,5,34.8,,,7.25,,10:12,612,3,5,1,3.4,120,1.8,,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,22.004,24,10:48,648,1,1,1,4.3,55,4.4,9,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,16.549,24,10:48,648,1,2,2,3.2,294,2.4,9,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,12.256,24,10:48,648,1,3,1,4.3,55,4.4,9,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,16.996,24,10:48,648,1,4,1,4.3,55,4.4,9,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,13.248,24,10:48,648,1,5,1,4.3,55,4.4,9,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,16.75,15,10:10,610,2,1,3,3.8,257,2.5,4,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,26.001,15,10:10,610,2,2,4,6,317,2.8,4,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,10.75,15,10:10,610,2,3,3,3.8,257,2.5,4,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,6.249,15,10:10,610,2,4,3,3.8,257,2.5,4,,
6,Anon,2020,1,2017,3,35.8,29.1,0.812849162,5.746,15,10:10,610,2,5,3,3.8,257,2.5,4,,
6,Anon,2020,1,2017,3,35.8,29.8,0.832402235,5.751,6,10:19,619,3,1,5,2.3,210,1.7,2,,
6,Anon,2020,1,2017,3,35.8,29.8,0.832402235,8.887,6,10:19,619,3,2,6,3.2,193,3.2,2,,
6,Anon,2020,1,2017,3,35.8,29.8,0.832402235,13.762,6,10:19,619,3,3,1,6,322,4.4,2,,
6,Anon,2020,1,2017,3,35.8,29.8,0.832402235,6.997,6,10:19,619,3,4,5,2.3,210,1.7,2,,
6,Anon,2020,1,2017,3,35.8,29.8,0.832402235,12.751,6,10:19,619,3,5,1,6,322,4.4,2,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,6.245,16,13:23,803,1,1,1,5,117,3,6,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,7.245,16,13:23,803,1,2,1,5,117,3,6,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,,16,13:23,803,1,3,1,5,117,3,6,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,7,16,13:23,803,1,4,1,5,117,3,6,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,6.249,16,13:23,803,1,5,1,5,117,3,6,,
7,Marvel,2020,0,2012,8,33.5,28,0.835820896,7.249,5,12:50,770,2,1,2,1.7,71,1.6,4,,
7,Marvel,2020,0,2012,8,33.5,28,0.835820896,9.499,5,12:50,770,2,2,1,4.5,46,3,4,,
7,Marvel,2020,0,2012,8,33.5,28,0.835820896,15.502,5,12:50,770,2,3,3,6,110,1.2,4,,
7,Marvel,2020,0,2012,8,33.5,28,0.835820896,8.001,5,12:50,770,2,4,1,4.5,46,3,4,,
7,Marvel,2020,0,2012,8,33.5,28,0.835820896,7.248,5,12:50,770,2,5,1,4.5,46,3,4,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,10.003,16,12:43,763,3,1,4,6,353,2.9,4,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,10.341,16,12:43,763,3,2,5,5,279,3.1,4,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,12.339,16,12:43,763,3,3,4,6,353,2.9,4,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,15.506,16,12:43,763,3,4,5,5,279,3.1,4,,
7,Marvel,2020,0,2012,8,33.5,28.6,0.853731343,15.247,16,12:43,763,3,5,6,5,36,3.4,4,,
7,Marvel,2021,0,2012,9,33.5,,,15.251,,13:37,817,1,1,1,9,34,3.2,,,
7,Marvel,2021,0,2012,9,33.5,,,13.501,,13:37,817,1,2,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,,,8.001,,13:37,817,1,3,1,9,34,3.2,,,
7,Marvel,2021,0,2012,9,33.5,,,14.999,,13:37,817,1,4,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,,,5.473,,13:37,817,1,5,3,4.7,265,0.9,,,
7,Marvel,2021,0,2012,9,33.5,,,9.501,,11:52,712,2,1,3,4.7,265,0.9,,,
7,Marvel,2021,0,2012,9,33.5,,,17.753,,11:52,712,2,2,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,,,16.499,,11:52,712,2,3,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,,,28.002,,11:52,712,2,4,5,10,235,3.1,,,
7,Marvel,2021,0,2012,9,33.5,,,18.999,,11:52,712,2,5,5,10,235,3.1,,,
7,Marvel,2021,0,2012,9,33.5,28.1,0.83880597,6.752,,13:25,805,3,1,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,28.1,0.83880597,9.001,,13:25,805,3,2,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,28.1,0.83880597,16.002,,13:25,805,3,3,5,10,235,3.1,,,
7,Marvel,2021,0,2012,9,33.5,28.1,0.83880597,21.752,,13:25,805,3,4,2,5,101,2.8,,,
7,Marvel,2021,0,2012,9,33.5,28.1,0.83880597,7.499,,13:25,805,3,5,2,5,101,2.8,,,
8,Gamble,2020,0,2016,4,33.8,27.9,0.825443787,15.001,11,11:29,689,1,1,1,3.1,200,1.8,4,,
8,Gamble,2020,0,2016,4,33.8,27.9,0.825443787,14.005,11,11:29,689,1,2,2,3.2,252,0.6,4,,
8,Gamble,2020,0,2016,4,33.8,27.9,0.825443787,14.099,11,11:29,689,1,3,2,3.2,252,0.6,4,,
8,Gamble,2020,0,2016,4,33.8,27.9,0.825443787,14.509,11,11:29,689,1,4,2,3.2,252,0.6,4,,
8,Gamble,2020,0,2016,4,33.8,27.9,0.825443787,11.993,11,11:29,689,1,5,3,6,44,2.1,4,,
8,Gamble,2020,0,2016,4,33.8,27.8,0.822485207,23.519,16,11:19,679,2,1,4,4.9,341,1.6,6,,
8,Gamble,2020,0,2016,4,33.8,27.8,0.822485207,19.616,16,11:19,679,2,2,4,4.9,341,1.6,6,,
8,Gamble,2020,0,2016,4,33.8,27.8,0.822485207,,16,11:19,679,2,3,5,6,149,0.8,6,,
8,Gamble,2020,0,2016,4,33.8,27.8,0.822485207,9.758,16,11:19,679,2,4,5,6,149,0.8,6,,
8,Gamble,2020,0,2016,4,33.8,27.8,0.822485207,10.507,16,11:19,679,2,5,5,6,149,0.8,6,,
