Worm_ID,Trial_Day,Trial_Total,HT,Whorls
27,1,13,26,5
27,2,14,25,5
27,3,15,23,5
27,4,16,46,5
28,1,1,29,5
28,2,2,,5
28,3,3,,5
28,4,4,,5
28,1,5,10,5
28,2,6,11,5
28,3,7,16,5
28,4,8,12,5
28,1,9,26,5
28,2,10,12,5
28,3,11,14,5
28,4,12,13,5
28,1,13,13,5
28,2,14,14,5
28,3,15,14,5
28,4,16,13,5
29,1,1,9,3
29,2,2,10,3
29,3,3,12,3
29,4,4,11,3
29,1,5,14,3
29,2,6,8,3
29,3,7,9,3
29,4,8,11,3
29,1,9,12,3
29,2,10,9,3
29,3,11,9,3
29,4,12,7,3
29,1,13,7,3
29,2,14,10,3
29,3,15,12,3
29,4,16,9,3
30,1,1,13,3
30,2,2,11,3
30,3,3,9,3
30,4,4,6,3
30,1,5,6,3
30,2,6,5,3
30,3,7,6,3
30,4,8,6,3
30,1,9,9,3
30,2,10,22,3
30,3,11,110,3
30,4,12,26,3
30,1,13,9,3
30,2,14,10,3
30,3,15,10,3
30,4,16,10,3
5a,1,1,14,5
5a,2,2,20,5
5a,3,3,15,5
5a,4,4,14,5
5a,1,5,15,5
5a,2,6,16,5
5a,3,7,17,5
5a,4,8,15,5
5a,1,9,14,5
5a,2,10,19,5
5a,3,11,11,5
5a,4,12,10,5
5a,1,13,12,5
5a,2,14,10,5
5a,3,15,17,5
5a,4,16,16,5
5b,1,1,10,8
5b,2,2,10,8
5b,3,3,20,8
5b,4,4,30,8
5b,1,5,13,8
5b,2,6,10,8
5b,3,7,11,8
5b,4,8,14,8
5b,1,9,18,8
5b,2,10,11,8
5b,3,11,19,8
5b,4,12,15,8
5b,1,13,14,8
5b,2,14,10,8
5b,3,15,17,8
5b,4,16,14,8
5c,1,1,14,5
5c,2,2,13,5
5c,3,3,17,5
5c,4,4,28,5
5c,1,5,14,5
5c,2,6,15,5
5c,3,7,15,5
5c,4,8,10,5
5c,1,9,12,5
5c,2,10,12,5
5c,3,11,14,5
5c,4,12,11,5
5c,1,13,13,5
5c,2,14,11,5
5c,3,15,15,5
5c,4,16,15,5
